ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
BUC2,39.0143,-122.05309999999996,14.8,0.0975134916483632,2.252241741212316,2.3497552328606788,2019-08-17
BUEG,34.6128,-120.19640000000004,74.803,0.048288506155206336,2.2461203010317896,2.294408807186996,2019-08-17
BUFF,40.3614,-117.26620000000004,1483.505,0.09091451666189672,1.912402158067005,2.003316674728901,2019-08-17
BULL,36.9176,-116.87170000000003,1344.7879999999998,0.05039177483188214,1.941687278257641,1.9920790530895236,2019-08-17
BURR,40.5189,-119.839,1252.258,0.11084497346428822,1.9615833977887531,2.0724283712530416,2019-08-17
BUST,36.7453,-116.4509,992.294,0.048710281920140125,2.018892879147374,2.067603161067514,2019-08-17
BUTM,37.3464,-118.55489999999998,1779.381,0.05190950673707018,1.8420810926983169,1.893990599435387,2019-08-17
BUTT,41.4789,-119.84069999999996,1747.6670000000001,0.07432796671800998,1.85887210750003,1.9332000742180402,2019-08-17
BVAL,39.5654,-120.23720000000004,2042.5620000000001,0.059920619727325534,1.7979343700391148,1.8578549897664405,2019-08-17
BVPP,35.1573,-119.34749999999997,123.05,0.053091520148187625,2.224938694218285,2.2780302143664724,2019-08-17
BWOD,37.9587,-121.70889999999996,-2.135,0.07842927530509372,2.2599786960956902,2.3384079714007844,2019-08-17
CA00,34.4126,-118.5537,332.89,0.07583028259275963,2.18289448024737,2.2587247628401297,2019-08-17
CA29,34.135999999999996,-116.05200000000002,576.7080000000002,0.05030932424170758,2.1175366330425422,2.167845957284249,2019-08-17
CA99,37.6446,-118.8967,2391.538,0.03857160014513397,1.7251349397534392,1.7637065398985732,2019-08-17
CAAT,35.4715,-120.654,263.986,0.041141629353681285,2.2010825817818693,2.2422242111355506,2019-08-17
CAB5,35.2757,-116.07349999999997,261.926,0.057636118086564575,2.1858381658460395,2.243474283932604,2019-08-17
CABD,34.1043,-117.28340000000004,284.005,0.05482123883195002,2.1905447118663552,2.245365950698305,2019-08-17
CABK,35.3507,-118.9688,92.48100000000001,0.05207810125776763,2.232698114538964,2.2847762157967315,2019-08-17
CABS,34.8945,-117.05,636.179,0.0432420427086448,2.102573384240413,2.1458154269490577,2019-08-17
CABU,35.5,-119.546,49.788999999999994,0.04210373354072595,2.2434366993363377,2.285540432877064,2019-08-17
CABY,33.6088,-114.61019999999996,53.07,0.0425639516207628,2.2384086252717217,2.2809725768924847,2019-08-17
CAC1,33.7992,-116.4056,78.938,0.05534124351369981,2.230386966019555,2.285728209533255,2019-08-17
CAC2,35.0998,-117.98929999999996,715.8,0.035245287051307736,2.0858032324881286,2.1210485195394364,2019-08-17
CAC3,38.0105,-122.0247,-7.838999999999999,0.0740527696138593,2.262494250545706,2.336547020159565,2019-08-17
CACC,41.7456,-124.1843,-21.958000000000002,0.11498228684679587,2.2740499810853145,2.3890322679321105,2019-08-17
CACD,38.0107,-122.0403,-9.207,0.07370218032930911,2.2628264637856885,2.3365286441149977,2019-08-17
CACH,39.7141,-121.8053,43.424,0.1175897789631752,2.2455627895985564,2.363152568561731,2019-08-17
CACJ,32.7458,-116.9438,103.554,0.04446741500389618,2.23974357803965,2.284210993043547,2019-08-17
CACL,33.4119,-117.60040000000004,28.908,0.02733826586870109,2.2565800106392824,2.2839182765079835,2019-08-17
CACM,32.6246,-116.4753,769.0310000000003,0.02690877066605919,2.0802730236499456,2.1071817943160047,2019-08-17
CACO,36.1764,-120.3596,193.78099999999998,0.0451855780412742,2.2109638258299467,2.2561494038712206,2019-08-17
CACP,34.0858,-118.78570000000002,828.9169999999997,0.03619540618765557,2.0693613433973663,2.105556749585022,2019-08-17
CACR,40.3096,-121.22910000000002,1364.493,0.08358101350131192,1.9405772557808565,2.024158269282168,2019-08-17
CACT,33.6551,-115.98990000000003,518.433,0.04201560287208665,2.132968292169561,2.174983895041648,2019-08-17
CACX,32.6718,-115.52660000000004,-27.565,0.03582542410496307,2.256776400809125,2.292601824914088,2019-08-17
CAD1,35.7594,-119.24379999999996,69.584,0.04302162432864142,2.238376869765409,2.2813984940940504,2019-08-17
CADY,37.728,-122.505,-4.121,0.06238745980263129,2.262177674147204,2.324565133949835,2019-08-17
CAE1,34.7513,-115.23000000000002,515.3240000000002,0.04718182191431797,2.13074013235376,2.177921954268077,2019-08-17
CAE2,34.7511,-115.2299,515.312,0.04717701796967285,2.1307466314969723,2.177923649466645,2019-08-17
CAEC,32.7914,-115.56489999999997,-41.785,0.038494676222678,2.25997058441288,2.2984652606355582,2019-08-17
CAEG,38.3811,-121.36509999999998,-9.811,0.07263404935588734,2.2598857683355784,2.3325198176914657,2019-08-17
CAEL,40.4217,-120.7029,1456.86,0.0917409846296137,1.9189584104234607,2.0106993950530745,2019-08-17
CAES,33.701,-117.3127,450.897,0.043133374934266666,2.156299359193304,2.1994327341275706,2019-08-17
CAEU,40.805,-124.1361,-22.116999999999997,0.11769897012727508,2.2779159489244667,2.3956149190517415,2019-08-17
CAFA,38.2491,-122.0679,-12.122,0.07368192635219571,2.2630174877483107,2.336699414100506,2019-08-17
CAFM,41.0179,-121.4311,996.43,0.09894114009846584,2.0225125532161945,2.1214536933146597,2019-08-17
CAFP,36.424,-120.10199999999998,38.521,0.0621993697057411,2.245617679082569,2.3078170487883107,2019-08-17
CAFR,36.8144,-119.7475,90.45700000000001,0.054966445163309625,2.2342653482495543,2.2892317934128634,2019-08-17
CAFT,37.47,-121.9248,-13.008,0.07702712299468757,2.2643262286659644,2.341353351660652,2019-08-17
CAGD,34.1284,-117.82700000000001,249.33900000000003,0.060663644336173016,2.200561599748387,2.26122524408456,2019-08-17
CAGR,37.0518,-121.53909999999996,74.065,0.0370841227740857,2.2429478893573185,2.280032012131404,2019-08-17
CAGW,32.7121,-114.9432,22.134,0.04298827846675207,2.2464601756650664,2.2894484541318185,2019-08-17
CAHA,36.3234,-119.62279999999998,46.902,0.0532892847758263,2.2439796610770286,2.297268945852855,2019-08-17
CAHB,37.5062,-122.4903,-18.779,0.06598750358342109,2.266048518093896,2.332036021677317,2019-08-17
CAHF,36.8548,-120.779,99.09899999999999,0.06562209627016115,2.2335547812195293,2.2991768774896904,2019-08-17
CAHV,32.7702,-115.2733,-21.875,0.03481876157415737,2.2557625237176366,2.2905812852917937,2019-08-17
CAIB,32.5748,-117.1266,-25.421,0.04664569415787824,2.2692167290217844,2.3158624231796625,2019-08-17
CAIS,35.6027,-118.4873,726.7360000000001,0.03695034333239467,2.0805638881297663,2.117514231462161,2019-08-17
CAKC,36.008,-119.9674,57.103,0.0386624858304707,2.242726671399736,2.2813891572302065,2019-08-17
CAL5,34.1083,-118.2418,86.63799999999998,0.060363821727660937,2.242241726049849,2.30260554777751,2019-08-17
CAL8,34.8061,-118.8716,1369.455,0.054106984126792615,1.9440985344527515,1.9982055185795438,2019-08-17
CALA,38.5963,-118.12869999999998,1868.9379999999999,0.0796660263896442,1.831656273698232,1.911322300087876,2019-08-17
CALB,37.0983,-120.70169999999996,3.168,0.0564540430348553,2.255458661688966,2.3119127047238206,2019-08-17
CALK,33.6355,-117.71429999999998,76.64699999999998,0.03103864678223165,2.245339859349324,2.276378506131556,2019-08-17
CALL,39.6878,-116.774,1845.6660000000002,0.07535578013222054,1.8352336256924289,1.910589405824649,2019-08-17
CALS,34.6488,-118.14710000000002,738.648,0.05143059252987856,2.084713045861794,2.1361436383916725,2019-08-17
