ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD,Lat,Lon,Hgt_m
P523,2020-01-03,2.3654,0.0648,2.3006,0,0.0022,35.3044,-120.8603,41.363
P525,2020-01-03,2.2961,0.0572,2.2389,0,0.0022,35.4258,-120.80809999999995,271.365
P526,2020-01-03,2.2545,0.054,2.2005,0,0.0022,35.636,-120.86969999999997,416.846
P527,2020-01-03,2.2848,0.0658,2.219,0,0.0023,35.7541,-120.6048,347.954
P528,2020-01-03,2.2731,0.0594,2.2137,0,0.0023,35.3278,-120.54539999999996,367.361
P529,2020-01-03,2.2572,0.0616,2.1956,0,0.0022,35.4405,-120.35379999999998,437.306
P530,2020-01-03,2.2676,0.0592,2.2084,0,0.0022,35.6248,-120.48040000000005,388.367
P531,2020-01-03,2.2554000000000003,0.0605,2.1949,0,0.0025,35.7927,-120.53660000000002,440.115
P532,2020-01-03,2.2231,0.0523,2.1708,0,0.0022,35.6338,-120.267,533.242
P533,2020-01-03,2.1994,0.0465,2.1529000000000003,0,0.0023,35.7479,-120.37099999999998,603.185
P534,2020-01-03,2.2932,0.0325,2.2607,0,0.0022,37.0612,-122.2376,204.257
P535,2020-01-03,2.2166,0.056,2.1606,0,0.0027,35.2351,-120.1014,571.534
P536,2020-01-03,2.1911,0.0545,2.1366,0,0.0024,35.2798,-120.02499999999998,665.354
P537,2020-01-03,2.2108000000000003,0.052,2.1588000000000003,0,0.0025,35.3168,-119.93529999999998,581.801
P538,2020-01-03,2.1909,0.0477999999999999,2.1431,0,0.0023,35.5342,-120.1125,641.159
P539,2020-01-03,2.2088,0.0552,2.1536000000000004,0,0.0021,35.7027,-120.18200000000002,601.091
P540,2020-01-03,2.267,0.0594,2.2076,0,0.0023,35.8013,-120.13059999999996,393.658
P541,2020-01-03,2.3248,0.0684,2.2564,0,0.0023,35.6867,-120.0007,209.193
P542,2020-01-03,2.2027,0.046,2.1567,0,0.0022,35.6889,-120.2926,587.956
P543,2020-01-03,2.2299,0.0591,2.1708000000000003,0,0.0025,35.319,-119.71320000000004,544.017
P544,2020-01-03,2.3882,0.0812,2.307,0,0.0024,35.7313,-119.738,33.647
P545,2020-01-03,2.3877,0.0839,2.3038,0,0.0022,35.4998,-119.5358,50.751
P546,2020-01-03,2.1935,0.0484,2.1451,0,0.0022,35.9279,-120.1549,635.265
P547,2020-01-03,2.3787,0.0766,2.3021,0,0.0022,35.9347,-119.9094,45.882
P548,2020-01-03,2.052,0.0308,2.0212,0,0.0023,34.4668,-119.5039,1134.829
P550,2020-01-03,1.9621,0.0326,1.9295,0,0.0022,34.6601,-119.1146,1526.106
P551,2020-01-03,1.9578,0.0334,1.9244,0,0.0045,34.8562,-119.15459999999996,1550.287
P552,2020-01-03,2.2053000000000003,0.0469,2.1584000000000003,0,0.0023,35.6867,-120.245,581.644
P554,2020-01-03,2.0609,0.045,2.0159,0,0.0023,34.7923,-118.848,1170.136
P555,2020-01-03,2.0785,0.0448,2.0337,0,0.0023,34.695,-118.6694,1095.971
P556,2020-01-03,2.1515,0.057,2.0945,0,0.0023,34.7711,-118.5455,852.627
P557,2020-01-03,1.8964,0.033,1.8634,0,0.0025,34.9444,-118.6556,1818.211
P558,2020-01-03,2.0009,0.0418,1.9591000000000005,0,0.0022,35.1386,-118.61170000000004,1411.448
P560,2020-01-03,2.1572,0.0589,2.0983,0,0.0023,34.8218,-118.54089999999997,838.326
P561,2020-01-03,2.1064000000000003,0.0432,2.0632,0,0.0049,34.6185,-118.39909999999998,974.383
P563,2020-01-03,2.3852,0.0824,2.3028,0,0.0023,35.4187,-119.4212,56.658
P564,2020-01-03,2.3895,0.0866,2.3029,0,0.0023,35.6229,-119.3494,61.095
P565,2020-01-03,2.3947,0.0912,2.3035,0,0.0022,35.7439,-119.23670000000004,63.107
P566,2020-01-03,2.3968000000000003,0.0938,2.303,0,0.0022,36.3245,-119.22929999999997,78.227
P567,2020-01-03,2.2042,0.07,2.1342,0,0.0023,35.4209,-118.7536,706.334
P568,2020-01-03,2.0289,0.0443,1.9846,0,0.0024,35.2543,-118.12649999999996,1301.221
P569,2020-01-03,2.0358,0.0447,1.9911,0,0.0023,35.378,-118.12379999999996,1275.716
P570,2020-01-03,2.1739,0.0663,2.1076,0,0.0022,35.6673,-118.26,810.857
P572,2020-01-03,2.0722,0.0495,2.0227,0,0.0022,36.5855,-118.95460000000004,1167.29
P573,2020-01-03,1.754,0.0265,1.7275,0,0.0023,36.0931,-118.26049999999998,2441.366
P574,2020-01-03,1.6581,0.0291,1.629,0,0.0026,34.2868,-117.63390000000004,2873.775
P575,2020-01-03,1.8721,0.0402999999999999,1.8318,0,0.0023,34.2155,-117.54219999999998,1928.387
P576,2020-01-03,2.2817,0.057,2.2247,0,0.0029,35.6697,-120.97000000000004,324.442
P577,2020-01-03,2.1048,0.0534,2.0514,0,0.0024,34.3046,-117.3189,999.548
P578,2020-01-03,2.2185,0.0482999999999999,2.1702,0,0.0023,35.6943,-120.23900000000005,536.247
P579,2020-01-03,2.153,0.0547,2.0983,0,0.0022,35.0388,-118.00580000000002,834.231
P580,2020-01-03,1.9381,0.0451,1.893,0,0.0023,35.6209,-117.1922,1669.634
P581,2020-01-03,2.1077,0.0475,2.0602,0,0.0022,34.5097,-117.72900000000004,972.783
P582,2020-01-03,2.1456,0.0554,2.0902,0,0.0025,34.6343,-117.5489,848.02
P583,2020-01-03,2.182,0.0615,2.1205,0,0.0023,34.987,-117.54340000000002,730.753
P584,2020-01-03,2.1701,0.0538,2.1163,0,0.0023,33.8926,-116.95159999999998,738.738
P585,2020-01-03,2.1068,0.046,2.0608000000000004,0,0.0023,34.0193,-116.5457,958.143
P586,2020-01-03,2.1538000000000004,0.0543,2.0995,0,0.003,34.5348,-117.28049999999996,809.383
P587,2020-01-03,1.9483,0.0382,1.9101,0,0.0022,34.3322,-118.0313,1600.745
P588,2020-01-03,2.1856,0.0604,2.1252,0,0.0024,34.7854,-117.26760000000002,709.795
P589,2020-01-03,2.0671,0.0513,2.0158,0,0.0025,34.6207,-117.11019999999996,1148.103
P590,2020-01-03,2.194,0.0604,2.1336,0,0.0023,35.1168,-117.3648,678.53
P591,2020-01-03,2.1916,0.0611,2.1305,0,0.0024,35.1524,-118.0165,708.839
P592,2020-01-03,2.0917,0.0509,2.0408,0,0.0022,35.2386,-117.3032,1049.318
P593,2020-01-03,2.0114,0.0495,1.9619,0,0.0022,35.3879,-117.20510000000002,1375.772
P594,2020-01-03,2.1277,0.0586,2.0691,0,0.0024,35.8967,-117.39009999999996,937.452
P595,2020-01-03,2.2048,0.0618,2.143,0,0.0022,35.6976,-117.4028,644.437
P596,2020-01-03,2.2602,0.0621,2.1981,0,0.0025,35.9982,-116.8895,430.508
P597,2020-01-03,2.0579,0.0522,2.0057,0,0.0023,35.7106,-116.8884,1194.18
P598,2020-01-03,1.6854000000000002,0.0309,1.6545,0,0.0026,34.1925,-116.71029999999996,2746.458
P599,2020-01-03,2.0161,0.0439,1.9722,0,0.0023,34.2172,-116.53750000000002,1323.846
P600,2020-01-03,2.1468000000000003,0.0451,2.1017,0,0.0026,33.8658,-116.2119,792.076
P601,2020-01-03,2.0380000000000003,0.0477999999999999,1.9902,0,0.0023,33.9593,-116.0802,1242.641
P602,2020-01-03,2.1891,0.0477,2.1414,0,0.0023,35.7292,-120.22789999999998,648.188
P603,2020-01-03,2.2043000000000004,0.0581,2.1462000000000003,0,0.0024,34.7169,-116.02949999999998,624.707
P604,2020-01-03,2.2182,0.0617,2.1565,0,0.0024,34.9368,-116.67150000000004,588.404
P605,2020-01-03,1.7578,0.0317,1.7261,0,0.0039,34.3411,-117.93669999999996,2419.707
P606,2020-01-03,2.141,0.0552,2.0858000000000003,0,0.0023,34.4621,-116.87959999999998,863.355
